NAME: axxx - Copy.txt | PATH: .\folder\axxx - Copy.txt | CHARACTER SIZE: 83343 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 1.328000 s

NAME: axxx.txt | PATH: .\folder\axxx.txt | CHARACTER SIZE: 27999 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.152000 s

NAME: file2.txt | PATH: .\folder\bc\file2.txt | CHARACTER SIZE: 6167 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.012000 s

NAME: asdf.txt | PATH: .\folder\bc\New folder\asdf.txt | CHARACTER SIZE: 3423 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.005000 s

NAME: New Text Document.txt | PATH: .\folder\bc\New Text Document.txt | CHARACTER SIZE: 19575 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.077000 s

NAME: dev.txt | PATH: .\folder\dev.txt | CHARACTER SIZE: 8455 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.016000 s

NAME: axxx - Copy.txt | PATH: .\folder\axxx - Copy.txt | CHARACTER SIZE: 83342 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 1.678000 s

NAME: axxx.txt | PATH: .\folder\axxx.txt | CHARACTER SIZE: 27998 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.227000 s

NAME: file2.txt | PATH: .\folder\bc\file2.txt | CHARACTER SIZE: 6167 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.013000 s

NAME: asdf.txt | PATH: .\folder\bc\New folder\asdf.txt | CHARACTER SIZE: 3422 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.005000 s

NAME: New Text Document.txt | PATH: .\folder\bc\New Text Document.txt | CHARACTER SIZE: 19575 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.102000 s

NAME: dev.txt | PATH: .\folder\dev.txt | CHARACTER SIZE: 8455 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.021000 s

NAME: axxx - Copy.txt | PATH: .\folder\axxx - Copy.txt | CHARACTER SIZE: 83341 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 1.344000 s

NAME: axxx.txt | PATH: .\folder\axxx.txt | CHARACTER SIZE: 27997 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.163000 s

NAME: file2.txt | PATH: .\folder\bc\file2.txt | CHARACTER SIZE: 6167 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.012000 s

NAME: asdf.txt | PATH: .\folder\bc\New folder\asdf.txt | CHARACTER SIZE: 3421 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.004000 s

NAME: New Text Document.txt | PATH: .\folder\bc\New Text Document.txt | CHARACTER SIZE: 19575 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.079000 s

NAME: dev.txt | PATH: .\folder\dev.txt | CHARACTER SIZE: 8455 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.017000 s

